title,release_date,tagline
Stone Cold,5/17/91,A cop who enforces his own brand of justice.
The Road,11/25/09,In a moment the world changed forever.
Sheena,8/17/84,
Underclassman,9/2/05,
Say It Isn't So,3/12/01,
The World's Fastest Indian,10/12/05,
Tank Girl,3/31/95,"In 2033, justice rides a tank and wears lip gloss."
King's Ransom,4/22/05,
Blindness,5/14/08,
BloodRayne,10/22/05,Revenge never tasted so sweet.
Carnage,9/16/11,A new comedy of no manners
Where the Truth Lies,10/7/05,
Cirque du Soleil: Worlds Away,11/9/12,Experience a Journey Like Never Before
Without Limits,9/11/98,PRE. The way he competed. The way he lived his life.
Me and Orson Welles,11/25/09,If you want to discover life learn from the master
The Best Offer,1/1/13,A Master of Possession. A Crime of Obsession
The Bad Lieutenant: Port of Call - New Orleans,9/11/09,The only criminal he can't catch is himself.
A Turtle's Tale: Sammy's Adventures,8/3/10,He's Turtly Amazing
Little White Lies,10/20/10,The one thing friends can't escape is a few home truths.
Love Ranch,6/30/10,When It Comes To Love... Everyone Pays A Price.
The True Story of Puss 'n Boots,4/1/09,
Space Dogs,3/18/10,
The Counselor,10/25/13,Sin Is A Choice.
Ironclad,3/3/11,Heavy metal goes medieval.
Waterloo,10/26/70,
Kung Fu Jungle,10/31/14,Kung Fu is a Skill for Killing
Red Sky,3/12/14,Go Rogue
Dangerous Liaisons,12/16/88,Lust. Seduction. Revenge. The Game As You've Never Seen It Played Before.
On the Road,5/22/12,The best teacher is experience.
Star Trek IV: The Voyage Home,11/25/86,The key to saving the future can only be found in the past.
Rocky Balboa,12/20/06,It ain't over 'til it's over.
Scream 2,12/9/97,Someone has taken their love of sequels one step too far.
Jane Got a Gun,1/1/16,
Think Like a Man Too,6/20/14,
The Whole Nine Yards,2/18/00,"In the heart of suburbia, a hit man with heart has just moved in."
Footloose,2/17/84,
Old School,2/21/03,"All the fun of college, none of the education."
The Fisher King,9/9/91,"A Modern Day Tale About The Search For Love, Sanity, Ethel Merman And The Holy Grail."
I Still Know What You Did Last Summer,11/13/98,Someone is dying for a second chance.
Return to Me,4/7/00,A comedy straight from the heart
Zack and Miri Make a Porno,9/18/08,What would you do to get out of debt?
Nurse Betty,9/8/00,She's chasing a dream... they're chasing her.
The Men Who Stare at Goats,10/17/09,No goats. No glory.
Double Take,1/12/01,One big shot. One big mouth. The switch is on.
"Girl, Interrupted",12/21/99,"The crazy thing is, you're not crazy."
Win a Date with Tad Hamilton!,1/23/04,"In every love story, there's only room for one leading man."
Muppets from Space,7/14/99,Space. It's not as deep as you think.
The Wiz,10/24/78,From the book that's an American tradition… from the smash-hit Broadway show… the entertainment of the year!
Ready to Rumble,4/7/00,They're headed to the big time...face first.
Play It to the Bone,12/25/99,
I Don't Know How She Does It,9/16/11,"If it were easy, men would do it too."
Piranha 3D,8/20/10,There's something in the water.
Beyond the Sea,12/17/04,"In the era of cool, Bobby Darin was the soundtrack."
Meet the Deedles,3/27/98,Fish out of water...Surfers in Yellowstone
The Thief and the Cobbler,9/23/93,
The Bridge of San Luis Rey,1/1/04,
Faster,11/23/10,Slow Justice is no Justice
Howl's Moving Castle,11/19/04,The two lived there
Zombieland,10/7/09,This place is so dead
The Waterboy,11/6/98,You can mess with him. But don't mess with his water.
The Empire Strikes Back,5/17/80,The Adventure Continues...
Bad Boys,4/7/95,Whatcha gonna do?
The Naked Gun 2½: The Smell of Fear,6/28/91,If you see only one movie this year...you ought to get out more often
Final Destination,3/16/00,No accidents. No coincidences. No escapes. You can't cheat death.
The Ides of March,9/24/11,Ambition seduces. Power corrupts.
Pitch Black,2/18/00,Don't be afraid of the dark. Be afraid of what's in the dark
Someone Like You...,3/30/01,The story about the one that got away and the one she never saw coming.
Her,12/18/13,A Spike Jonze Love Story
Joy Ride,10/5/01,"It was just a joke, just for fun."
The Adventurer: The Curse of the Midas Box,12/5/13,The new name for adventure.
Anywhere But Here,11/12/99,A story of a mother who knows best... and a daughter who knows better.
The Crew,8/21/00,
Haywire,11/6/11,They left her no choice.
Jaws: The Revenge,7/17/87,"This time, it’s personal."
Marvin's Room,12/18/96,A story about the years that keep us apart... And the moments that bring us together.
The Longshots,8/22/08,
The End of the Affair,12/3/99,
Harley Davidson and the Marlboro Man,8/23/91,When the going gets tough... the tough take the law into their own hands.
In the Valley of Elah,8/31/07,Sometimes finding the truth is easier than facing it.
Coco Before Chanel,4/22/09,Before she was France's famous mademoiselle...
Forsaken,9/16/15,
Cheri,2/10/09,
Vanity Fair,9/1/04,"On September 1st, a heroine will rise."
Bodyguards and Assassins,12/18/09,"To save a nations future, they must protect one man from its past."
1408,7/12/07,The only demons in room 1408 are those within you.
Spaceballs,6/24/87,May the schwartz be with you
The Water Diviner,12/25/14,To honour a promise. To find his sons. To make his peace.
Ghost,7/12/90,A love that will last forever.
There's Something About Mary,7/15/98,Love Is In The Hair.
The Santa Clause,11/10/94,What if your dad was Santa Claus?
The Rookie,3/25/02,Sometimes dreams come back to life.
The Game Plan,9/28/07,"Half his size, twice the trouble ... and she's moving in."
The Bridges of Madison County,5/28/95,The path of Francesca Johnson's future seems destined due to an unexpected fork in the road...
The Animal,6/1/01,He wasn't much of a man... Now he's not much of an animal!
Gandhi,11/30/82,His triumph changed the world forever.
The Hundred-Foot Journey,8/6/14,Life's greatest journey begins with the first step.
The Net,7/28/95,"No driver's license, no credit cards, no passport, no access to her bank accounts in a foreign country ... She finds her identity stolen."
I Am Sam,12/28/01,love is all you need
Son of God,2/28/14,Their Empire. His Kingdom.
Underworld,9/19/03,Underworld
Derailed,11/11/05,He never saw it coming.
The Informant!,9/18/09,Based on a tattle-tale.
Shadowlands,12/25/93,
Deuce Bigalow: European Gigolo,8/6/05,For the women of Europe... The price of love just got a lot cheaper.
Delivery Man,10/10/13,You're never quite ready for what life delivers.
Our Kind of Traitor,5/5/16,Who Can You Trust With The Truth?
Saving Silverman,2/9/01,They swore nothing would come between them. Then evil walked in the door
Diary of a Wimpy Kid: Dog Days,8/2/12,School's Out for the summer
Summer of Sam,7/2/99,No one is safe from son of sam
Jay and Silent Bob Strike Back,8/22/01,Hollywood had it coming
The Glass House,9/14/01,The glass is about to be shattered...
"Hail, Caesar!",2/5/16,Lights. Camera. Abduction.
Josie and the Pussycats,4/6/01,"They were three small time girls, with big time dreams. Now, fate is giving the Pussycats, the chance of a lifetime."
Homefront,11/27/13,How far would you go to protect your home?
The Little Vampire,10/27/00,"They're not just best friends, they're blood brothers."
I Heart Huckabees,9/10/04,An existential comedy
RoboCop 3,4/17/93,He's back to lay down the law.
Megiddo: The Omega Code 2,9/7/01,"In The Beginning, The End Had A Name."
Darling Lili,1/1/70,She gave away secrets to one side and her heart to the other.
Dudley Do-Right,8/27/99,From the creator of 'George of the Jungle' comes a new kind of hero
The Transporter Refueled,9/3/15,He Delivers.
The Libertine,9/16/04,He didn't resist temptation. He pursued it.
Black Book,9/1/06,"To fight the enemy, she must become one of them."
Joyeux Noël,11/9/05,France 1914. A moment of humanity that made history.
Hit & Run,8/22/12,A Comedy That Never Takes Its Foot Off The Gas
Mad Money,1/17/08,
Before I Go to Sleep,9/3/14,Who do you trust?
Sorcerer,6/24/77,WANTED. Four men willing to drive a cargo of death to escape a life in hell.
Stone,10/7/10,Some People Tell Lies. Others Live Them.
Moliere,1/31/07,
Out of the Furnace,12/6/13,Sometimes your battles choose you.
Michael Clayton,9/28/07,The truth can be adjusted
My Fellow Americans,12/20/96,"A comedy about life, liberty and the pursuit of two ex-presidents."
Arlington Road,3/19/99,Your Paranoia Is Real.
Underdogs,7/18/13,There's only one team this summer.
To Rome with Love,4/20/12,
Firefox,6/13/82,...the most devastating killing machine ever built... his job... steal it!
"South Park: Bigger, Longer & Uncut",6/30/99,UH-OH.
Death at a Funeral,2/9/07,From director Frank Oz comes the story of a family that puts the F U in funeral.
Teenage Mutant Ninja Turtles III,3/17/93,The Turtles Are Back....In Time.
Hardball,9/14/01,The most important thing in life is showing up
Silver Linings Playbook,9/8/12,Watch For The Signs
Freedom Writers,1/5/07,Their story. Their world. Their future.
For Colored Girls,11/5/10,Many voices. One poem.
The Transporter,10/2/02,Rules are made to be broken.
Never Back Down,3/4/08,Win or lose... Everyone has their fight.
The Rage: Carrie 2,3/11/99,Looks Can Kill
Away We Go,6/5/09,
Swing Vote,8/1/08,One ordinary guy is giving the candidates a reason to run.
Moonlight Mile,9/9/02,
Tinker Tailor Soldier Spy,9/16/11,How do you find an enemy who is hidden right before your eyes?
Molly,10/22/99,Innocence is bliss. See the world through her.
The Beaver,2/11/11,He's here to save Walter's life.
The Best Little Whorehouse in Texas,7/23/82,With Burt and Dolly this much fun just couldn't be legal!
eXistenZ,4/14/99,Play it. Live it. Kill for it.
Raiders of the Lost Ark,6/12/81,Indiana Jones - the new hero from the creators of JAWS and STAR WARS.
Home Alone 2: Lost in New York,11/19/92,He's up past his bedtime in the city that never sleeps.
Close Encounters of the Third Kind,11/16/77,We are not alone.
Pulse,8/11/06,You are now infected.
Beverly Hills Cop II,5/18/87,
Bringing Down the House,3/7/03,"Everything he needed to know about life, she learned in prison."
The Silence of the Lambs,2/1/91,To enter the mind of a killer she must challenge the mind of a madman.
Wayne's World,2/14/92,You'll laugh. You'll cry. You'll hurl.
Jackass 3D,10/15/10,Don't try this at home
Jaws 2,6/16/78,Just when you thought it was safe to go back in the water...
Beverly Hills Chihuahua,10/3/08,50% Warrior. 50% Lover. 100% Chihuahua.
The Conjuring,7/18/13,Based on the true case files of the Warrens
Are We There Yet?,1/20/05,24 hours. 350 miles. His girlfriend's kids. What could possibly go wrong?
Tammy,7/2/14,She hit the road. The road hit back.
School of Rock,10/3/03,He just landed the gig of his life: 5th grade.
Mortal Kombat,8/18/95,Nothing In This World Has Prepared You For This.
White Chicks,6/23/04,They're going deep undercover.
The Descendants,9/9/11,The South Pacific ain't that terrific.
Holes,4/18/03,Some secrets are too big to keep hidden.
The Last Song,3/31/10,"A story about family, first love, second chances and the moment in life that lead you back home."
12 Years a Slave,10/18/13,The extraordinary true story of Solomon Northup
Drumline,12/13/02,Half time is game time
Why Did I Get Married Too?,4/2/10,Marriage is an institution they're committed to.
Edward Scissorhands,12/5/90,His scars run deep.
Me Before You,6/2/16,#LiveBoldly
Madea's Witness Protection,6/29/12,"Believe it or not, they know too much."
The French Connection,10/9/71,There are no rules and no holds barred when Popeye cuts loose!
Bad Moms,7/28/16,Party like a mother.
Date Movie,2/17/06,An Unprotected Comedy
Return to Never Land,2/14/02,The Classic Continues
Selma,12/25/14,One dream can change the world.
The Jungle Book 2,2/7/03,Feel the jungle beat
Boogeyman,2/4/05,You thought it was just a story.
Premonition,2/8/07,Reality is only a nightmare away
The Tigger Movie,2/11/00,
Orphan,7/24/09,Can you keep a secret?
Max,6/26/15,Best Friend. Hero. Marine.
Epic Movie,1/25/07,We know it's big. We measured.
Spotlight,11/6/15,Break the story. Break the silence.
Lakeview Terrace,9/19/08,What Could Be Safer Than Living Next to a Cop?
The Grudge 2,10/13/06,"What Was Once Trapped, Will Now Be Unleashed"
How Stella Got Her Groove Back,8/14/98,Sometimes you have to break the rules to free your heart.
Bill & Ted's Bogus Journey,7/19/91,Once... they made history. Now... they are history.
Man of the Year,10/9/06,Elections are made to be broken.
The Black Hole,12/18/79,A journey that begins where everything ends!
The American,8/31/10,
Selena,3/21/97,Discover the true story of one of America's brightest stars... that faded too soon.
Vampires Suck,8/18/10,Some sagas just won't die.
Babel,9/8/06,If You Want to be Understood...Listen
This Is Where I Leave You,9/10/14,Welcome Home. Get Uncomfortable.
Doubt,11/27/08,"There is no evidence. There are no witnesses. But for one, there is no doubt."
Team America: World Police,10/10/04,Putting The 'F' back in 'Freedom'
Texas Chainsaw 3D,1/3/13,Evil wears many faces.
Copycat,10/27/95,"One man is copying the most notorious killers in history one at a time. Together, two women must stop him from killing again. Or they're next."
Scary Movie 5,4/11/13,Evil is coming. Bring protection.
Paint Your Wagon,10/15/69,Stake Your Claim To The Musical Goldmine of '69!
Milk,11/26/08,Never Blend In.
Risen,2/19/16,Witness the manhunt that changed the course of human history
Ghost Ship,10/25/02,Sea Evil
A Very Harold & Kumar Christmas,11/4/11,Christmas comes prematurely.
Wild Things,3/20/98,They're dying to play with you.
The Stepfather,10/16/09,Daddy's home.
The Debt,4/11/10,Every secret comes with a price.
High Fidelity,3/17/00,"A comedy about fear of commitment, hating your job, falling in love and other pop favorites."
One Missed Call,1/4/08,What will it sound like when you die?
Eye for an Eye,1/12/96,What do you do when justice fails?
The Bank Job,2/28/08,
Eternal Sunshine of the Spotless Mind,3/19/04,You can erase someone from your mind. Getting them out of your heart is another story.
You Again,9/24/10,What doesn't kill you... is going to marry your brother.
Street Kings,4/10/08,Their city. Their rules. No prisoners.
The World's End,7/18/13,Good food. Fine ales. Total Annihilation.
Nancy Drew,6/15/07,Small Town Girl. Big Time Adventure.
Daybreakers,1/6/09,"In 2019, The Most Precious Natural Resource... Is Us."
She's Out of My League,3/11/10,"When she's this hot, You get one shot."
Monte Carlo,7/1/11,She's having the time of someone else's life.
Stay Alive,3/24/06,You die in the game - you die for real.
Quigley Down Under,10/17/90,There's a price on his head. A girl on his mind. And a twinkle in his eye.
Alpha and Omega,9/17/10,A Pawsome 3D Adventure
The Covenant,9/8/06,Only the power of Hell can help them.
Stick It,4/21/06,The world of competitive gymnastics is about to be turned on its head.
Shorts,8/21/09,Not So TALL Tales From The Director Of 'Spy Kids'
To Die For,5/20/95,All she wanted was a little attention.
Nerve,7/27/16,Are you a watcher or a player?
Appaloosa,9/12/08,Feelings get you killed.
Vampires,4/15/98,From the Master of Evil. Comes a New Breed of Terror
Psycho,6/16/60,The master of suspense moves his cameras into the icy blackness of the unexplored!
My Best Friend's Girl,9/19/08,It's funny what love can make you do...
Endless Love,2/12/14,Say Goodbye to Innocence
Georgia Rule,5/11/07,"In this family, attitude doesn't skip a generation."
Under the Rainbow,7/31/81,Who knew so many little people would throw such a huge party?
Ladyhawke,3/27/85,No force in Heaven will release them. No power on Earth can save them.
Simon Birch,9/11/98,Destiny has big plans for little Simon Birch.
Reign Over Me,3/23/07,Let in the unexpected.
Into the Wild,9/11/07,Into the heart. Into the soul.
School for Scoundrels,9/29/06,Life's A Game. Learn How To Play.
Silent Hill: Revelation 3D,10/10/12,This Halloween prepare for a 3D ride through hell.
From Dusk Till Dawn,1/19/96,One night is all that stands between them and freedom. But it's going to be a hell of a night.
Pooh's Heffalump Movie,2/11/05,There's something new in the Hundred Acre Wood.
Home for the Holidays,11/2/95,We'll do it every year..until we get it right
Kung Fu Hustle,2/10/04,So many gangsters...so little time.
The Country Bears,7/26/02,It's A Bear Getting The Family Together!
The Kite Runner,10/14/07,There is a way to be good again.
21 Grams,9/6/03,How much does life weigh?
Paparazzi,9/3/04,One good shot deserves another.
A Guy Thing,1/17/03,Boy meets girl. Boy meets girl's cousin.
Loser,7/21/00,Dare to be different.
Capitalism: A Love Story,9/6/09,"Ask not what your C.E.O. can do for you, but what you can do for your C.E.O."
The Greatest Story Ever Told,2/15/65,
Secret in Their Eyes,10/14/15,The truth lies in the most unexpected places.
Disaster Movie,8/29/08,Your favorite movies are going to be destroyed.
Armored,12/4/09,Who will be the last man standing?
The Man Who Knew Too Little,11/14/97,"He’s on a mission so secret, even he doesn’t know about it."
What's Your Number?,9/30/11,Ally's looking for the best ex of her life.
Lockout,4/12/12,Take no prisoners.
Envy,4/30/04,"Success didn’t go to his head, it went to his neighbor."
Crank: High Voltage,4/16/09,"Stay Charged, Stay Alive!"
Bullets Over Broadway,10/14/94,
One Night with the King,10/13/06,Feel The Touch Of Destiny
The Quiet American,11/22/02,
The Weather Man,10/20/05,Dave Spritz is about to take his best shot . . . at life
Undisputed,8/23/02,Two Enemies ... The Mob ... The Ultimate Showdown.
Ghost Town,9/19/08,He sees dead people... and they annoy him.
12 Rounds,3/19/09,Survive all 12
Let Me In,10/1/10,Innocence dies. Abby doesn't.
3 Ninjas Kick Back,5/6/94,"Colt, Rocky and Tum Tum are back for bigger kicks in an all new adventure"
Be Kind Rewind,1/20/08,"You name it, we shoot it."
Mrs Henderson Presents,9/9/05,
Triple 9,2/19/16,The Code on the Street is Never Black & White
Deconstructing Harry,8/26/97,Harry Block has written a best seller... bout his best friends... he revealed their deepest secrets... and they're not pleased... now Harry Block is going to Hell...
Three to Tango,10/22/99,All's fair in the war of love.
Burnt,10/2/15,Never underestimate a man with everything to lose.
We're No Angels,12/15/89,Escaped convicts disguised as priests. It'll take a miracle to get away with this one.
Everyone Says I Love You,12/6/96,
Death Sentence,8/31/07,Protect what's yours.
Everybody's Fine,12/4/09,Frank's travelling light but carrying excess baggage.
Superbabies: Baby Geniuses 2,8/27/04,Meet the new generation of superheroes.
The Man,9/8/05,One guy walks the walk. The other talks and talks.
Code Name: The Cleaner,1/5/07,
Connie and Carla,4/16/04,"When you follow your dream, there's no telling what you'll become."
Sweet Charity,1/1/69,Love is what it's all about!
Inherent Vice,12/25/14,"Under the paving stones, the beach!"
Doogal,2/24/06,Things are about to get hairy.
Battle of the Year,9/21/13,The World is watching
An American Carol,10/3/08,Laugh like you're country depends on it.
Machete Kills,9/12/13,Trained to kill. Left for dead. Back for more.
Willard,3/14/03,"When the cat's away, the rats will play."
Strange Wilderness,2/1/08,This ain't March of the Penguins.
Topsy-Turvy,9/3/99,Gilbert & Sullivan & So Much More
Little Boy,4/23/15,Believe the impossible.
A Dangerous Method,9/30/11,Why deny what you desire the most.
A Scanner Darkly,5/25/06,Everything Is Not Going To Be OK
Chasing Mavericks,10/25/12,Legends Start Somewhere
Alone in the Dark,1/28/05,Can mankind defeat the army of darkness unleashed by an ancient evil cult?
Bandslam,8/6/09,Band Together
Birth,9/8/04,Be careful what you wish for.
A Most Violent Year,12/30/14,The result is never in question. Just the path you take to get there.
Passchendaele,10/17/08,
Flash of Genius,9/7/08,"Corporations have time, money, and power on their side. All Bob Kearns had was the truth."
I'm Not There.,10/1/07,All I Can Do Is Be Me Whoever That Is
The Cold Light of Day,4/4/12,Be careful who you trust.
The Brothers Bloom,9/9/08,They'd never let the truth come between them.
"Synecdoche, New York",10/24/08,
Princess Mononoke,7/12/97,The Fate Of The World Rests On The Courage Of One Warrior.
Bon voyage,4/16/03,
Can't Stop the Music,6/20/80,The Musical Comedy Smash of the 80's!
The Proposition,10/6/05,This land will be civilized.
My All American,11/13/15,Hope never quits
Marci X,8/22/03,Uptown Gets Down.
Equilibrium,12/6/02,"In a future where freedom is outlawed, outlaws will become heroes."
The Children of Huang Shi,7/3/08,"War made them orphans, one man made them legends"
The Yards,4/27/00,He's the target of the most merciless family in New York. His own.
The Oogieloves in the Big Balloon Adventure,8/29/12,
By the Sea,11/12/15,
Steamboy,7/17/04,He will save the future.
The Game of Their Lives,1/1/05,
All Good Things,12/3/10,The perfect love story. Until it became the perfect crime.
Rapa Nui,9/9/94,
CJ7,1/30/08,It's out of this world.
The Visitors II: The Corridors of Time,2/11/98,They come back!
Dylan Dog: Dead of Night,3/16/11,No pulse? No problem
People I Know,11/21/02,
The Tempest,12/10/10,
Regression,10/1/15,Fear always finds its victim
Three Kingdoms: Resurrection of the Dragon,4/3/08,
Butterfly on a Wheel,7/27/07,Lives will be broken
Zambezia,6/5/12,Airborne to be wild.
Ramanujan,7/11/14,
Dwegons,1/24/14,
Hands of Stone,8/26/16,No más. No surrender.
Survivor,5/21/15,His Next Target is Now Hunting Him
The Frozen Ground,7/18/13,The hunter becomes the hunted
The Painted Veil,12/9/06,Sometimes the greatest journey is the distance between two people.
The Baader Meinhof Complex,9/24/08,
Dances with Wolves,11/9/90,Inside everyone is a frontier waiting to be discovered.
Bad Teacher,5/16/11,She doesn't give an F.
Sea of Love,9/15/89,Deception is dangerous. Desire is deadly.
A Cinderella Story,7/10/04,Once upon a time... can happen any time.
Scream,12/20/96,Someone has taken their love of scary movies one step too far.
Thir13en Ghosts,10/26/01,"There are ghosts around us all the time. Most of them don't want to hurt us. But, there are exceptions..."
The Shining,5/22/80,A masterpiece of modern horror.
Back to the Future,7/3/85,He's the only kid ever to get into trouble before he was born.
House on Haunted Hill,10/29/99,Evil loves to party.
I Can Do Bad All By Myself,9/11/09,
Fight Valley,7/22/16,One way in. No way out.
The Switch,5/11/10,The most unexpected comedy ever conceived.
Just Married,1/9/03,Welcome to the honeymoon from hell.
The Devil's Double,2/11/11,"The 80's were brilliant, if you were in charge."
Thomas and the Magic Railroad,7/26/00,Little Engines CAN Do Big Things...
The Crazies,2/26/10,Fear Thy Neighbor
Spirited Away,7/20/01,The tunnel led Chihiro to a mysterious town...
Firestorm,12/12/13,
The Bounty,5/4/84,"After 200 years, the truth behind the legend."
The Book Thief,11/8/13,Courage beyond words.
Sex Drive,10/16/08,He's leaving virgin territory
Leap Year,1/8/10,Anna planned to propose to her boyfriend on February 29th. This is not her boyfriend.
The Fall of the Roman Empire,3/24/64,The Most Magnificent Re-Creation . . . Of An Ancient Empire . . . Launches A New Epoch In Motion Pictures . . .
Take Me Home Tonight,3/4/11,Best. Night. Ever.
Won't Back Down,9/28/12,If you can't beat the system... change it
The Nutcracker,11/24/93,The joy of the New York City Ballet in an exciting family holiday motion picture.
Kansas City,8/16/96,"Kansas City, 1934. Anything could happen here. One night it did."
Indignation,7/29/16,Based on the novel by Philip Roth.
The Amityville Horror,4/15/05,What happened over the next 28 days has never been explained.
Adaptation.,12/6/02,"From the creator of Being John Malkovich, comes the story about the creator of Being John Malkovich."
Land of the Dead,6/24/05,The dead shall inherit the Earth.
Out of Inferno,3/10/13,
Fear and Loathing in Las Vegas,5/22/98,"Buy the ticket, take the ride."
The Invention of Lying,9/13/09,In a world where everyone can only tell the truth... This guy can lie.
Neighbors,5/8/14,Family vs. Frat
The Mask,7/29/94,From zero to hero.
Big,6/3/88,You're Only Young Once But For Josh It Might Just Last A Lifetime.
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,11/1/06,"Come to Kazakhstan, it's nice!"
Legally Blonde,7/13/01,Don't judge a book by its hair color!
Star Trek III: The Search for Spock,5/31/84,A dying planet. A fight for life.
The Exorcism of Emily Rose,9/9/05,What happened to Emily?
Deuce Bigalow: Male Gigolo,12/10/99,He charges $10 but he’s willing to negotiate.
Left Behind,10/3/14,The End Begins
The Family Stone,12/14/05,Feel The Love
Barbershop 2:  Back in Business,1/20/04,Let your hair down
Bad Santa,11/26/03,He doesn't care if you're naughty or nice.
Austin Powers: International Man of Mystery,5/2/97,"If he were any cooler, he'd still be frozen, baby!"
My Big Fat Greek Wedding 2,3/23/16,People change. Greeks don't.
Diary of a Wimpy Kid: Rodrick Rules,3/25/11,Welcome to the next grade
Predator,6/11/87,"If it bleeds, we can kill it..."
Amadeus,10/26/84,...Everything you've heard is true
Prom Night,4/10/08,A Night To Die For.
Mean Girls,4/30/04,Welcome to girl world.
Under the Tuscan Sun,4/30/03,Life offers you a thousand chances ... all you have to do is take one.
Gosford Park,11/7/01,Tea at four. Dinner at eight. Murder at midnight.
Peggy Sue Got Married,10/5/86,"Knowing what you know now, what would you do differently?"
Birdman,8/27/14,or (The Unexpected Virtue of Ignorance)
Blue Jasmine,7/25/13,Blue Moon. I used to know the words. Now they're all a jumble.
United 93,4/28/06,"September 11, 2001. Four planes were hijacked. Three of them reached their target. This is the story of the fourth."
Honey,11/24/03,Her dream. Her terms
Spy Hard,5/24/96,All the action. All the women. Half the intelligence.
The Fog,2/8/80,Lock your doors. Bolt your windows. There's something in THE FOG!
Soul Surfer,4/8/11,"When you come back from a loss, beat the odds, and never say never, you find a champion."
Catch-22,6/24/70,
Observe and Report,4/10/09,"Right now, the world needs a hero."
Conan the Destroyer,6/29/84,The most powerful legend of all is back in a new adventure.
Raging Bull,11/14/80,
Love Happens,9/18/09,Sometimes when you least expect it...
Young Sherlock Holmes,12/4/85,"Before a lifetime of adventure, they lived the adventure of a lifetime."
Fame,1/1/09,
127 Hours,11/5/10,There is no force more powerful than the will to live.
Small Time Crooks,5/19/00,They took a bite out of crime
Center Stage,5/12/00,Life doesn't hold tryouts.
Love the Coopers,11/12/15,"Christmas means comfort, joy and chaos."
Catch That Kid,2/6/04,They're on a mission without permission.
Life as a House,10/25/01,"Seen from a distance, it's perfect."
Steve Jobs,10/9/15,Can a great man be a good man?
"I Love You, Beth Cooper",7/10/09,Popularity is nice. Popular girls are not.
Youth in Revolt,9/11/09,"Every ""Revolution"" Needs A Leader"
The Legend of the Lone Ranger,8/20/81,"The untold story of the man behind the mask, and the legend behind the man."
The Tailor of Panama,2/11/01,"In a place this treacherous, what a good spy needs is a spy of his own."
Blow Out,7/24/81,Murder has a sound all of its own!
Getaway,8/29/13,Get in. Get out. Getaway.
The Ice Storm,9/27/97,"It was 1973, and the climate was changing."
And So It Goes,7/20/14,
Troop Beverly Hills,3/22/89,"When the going gets tough, the tough go shopping!"
Being Julia,9/3/04,Passion. Obsession. Revenge. Prepare for the performance of a lifetime.
Nine 1/2 Weeks,2/14/86,They Broke Every Rule
Dragonslayer,6/26/81,"In the Dark Ages, Magic was a weapon. Love was a mystery. Adventure was everywhere... And Dragons were real."
The Last Station,9/4/09,Intoxicating. Infuriating. Impossible. Love.
Ed Wood,9/27/94,"When it came to making bad movies, Ed Wood was the best."
Labor Day,12/27/13,
Mongol: The Rise of Genghis Khan,9/20/07,Greatness comes to those who take it.
RockNRolla,9/4/08,"A story of sex, thugs and rock 'n roll."
Megaforce,6/25/82,Deeds not Words
Hamlet,12/25/96,
Mao's Last Dancer,10/1/09,最后的舞者
Midnight Special,2/18/16,He's not like us.
Anything Else,8/27/03,In any relationship one person always does the heavy lifting.
The Railway Man,12/26/13,Revenge is never a straight line.
The White Ribbon,5/21/09,
Restoration,5/3/16,
The Wraith,11/21/86,He's not from around here...
Salton Sea,1/1/02,"If you're looking for the truth, you've come to the wrong place."
Metallica: Through the Never,9/25/13,Experience Metallica like never before
The Informers,11/5/08,Greed is good. Sex is easy. Youth is forever.
Carlos,5/19/10,The man who hijacked the world
I Come with the Rain,5/14/09,
One Man's Hero,8/2/99,One man's hero is another man's traitor.
Day of the Dead,7/19/85,The darkest day of horror the world has ever known.
I Am Wrath,4/14/16,I lay my vengeance upon them.
Renaissance,3/16/06,Paris 2054. Live forever or die trying
Red Sonja,4/9/85,A woman and a warrior that became a legend.
Red Lights,3/2/12,How much do you want to believe?
Superbad,8/17/07,Come and Get Some!
Madea Goes to Jail,2/16/09,
Wolves,8/28/14,Unleash the beast
Step Up 2: The Streets,2/14/08,It's not where you're from. It's where you're at.
Hoodwinked!,12/16/05,Armed And Dangerously Dumb.
Hotel Rwanda,9/11/04,"When the world closed its eyes, he opened his arms."
Hitman,11/21/07,Assassin 47
Black Nativity,11/27/13,The Musical Event of the Holiday Season
